,Date,High,Low,Open,Price
2116,2012-03-08,"1,703.86","1,682.85","1,685.09","1,700.65"
2117,2012-03-07,"1,688.42","1,671.35","1,674.60","1,684.95"
2118,2012-03-06,"1,709.00","1,664.35","1,705.97","1,674.00"
2119,2012-03-05,"1,716.76","1,694.64","1,711.05","1,706.70"
2120,2012-03-02,"1,724.19","1,705.19","1,717.70","1,712.30"
2121,2012-03-01,"1,726.21","1,694.70","1,696.20","1,716.55"
2122,2012-02-29,"1,790.80","1,688.49","1,784.59","1,695.20"
2123,2012-02-28,"1,789.96","1,766.00","1,767.05","1,785.85"
2124,2012-02-27,"1,779.59","1,762.24","1,773.28","1,766.30"
2125,2012-02-24,"1,783.11","1,770.74","1,780.30","1,773.49"
2126,2012-02-23,"1,787.61","1,772.29","1,776.24","1,780.10"
2127,2012-02-22,"1,781.80","1,749.54","1,759.59","1,777.55"
2128,2012-02-21,"1,760.21","1,731.09","1,734.03","1,759.15"
2129,2012-02-20,"1,737.30","1,723.67","1,723.78","1,734.00"
2130,2012-02-17,"1,735.95","1,717.45","1,728.84","1,722.45"
2131,2012-02-16,"1,730.01","1,705.49","1,727.79","1,728.70"
2132,2012-02-15,"1,737.47","1,718.52","1,719.62","1,729.01"
2133,2012-02-14,"1,727.81","1,712.20","1,722.96","1,720.10"
2134,2012-02-13,"1,733.61","1,716.47","1,725.30","1,722.50"
2135,2012-02-10,"1,734.80","1,704.14","1,731.54","1,719.85"
2136,2012-02-09,"1,751.90","1,725.69","1,733.70","1,729.60"
2137,2012-02-08,"1,751.86","1,724.95","1,745.76","1,733.55"
2138,2012-02-07,"1,750.20","1,709.79","1,719.80","1,746.50"
2139,2012-02-06,"1,738.09","1,711.79","1,726.30","1,720.30"
2140,2012-02-03,"1,763.76","1,724.35","1,760.06","1,725.30"
2141,2012-02-02,"1,761.57","1,741.49","1,744.20","1,759.99"
2142,2012-02-01,"1,751.56","1,732.95","1,738.75","1,743.60"
2143,2012-01-31,"1,747.79","1,726.80","1,729.19","1,739.43"
2144,2012-01-30,"1,739.35","1,716.69","1,738.05","1,730.05"
2145,2012-01-27,"1,738.91","1,714.80","1,720.49","1,738.89"
2146,2012-01-26,"1,730.62","1,703.65","1,710.72","1,721.50"
2147,2012-01-25,"1,713.30","1,649.19","1,665.69","1,711.90"
2148,2012-01-24,"1,679.89","1,661.29","1,676.99","1,665.20"
2149,2012-01-23,"1,681.66","1,662.59","1,666.68","1,677.00"
2150,2012-01-20,"1,667.11","1,644.69","1,657.79","1,666.90"
2151,2012-01-19,"1,670.15","1,648.94","1,659.70","1,657.60"
2152,2012-01-18,"1,662.50","1,642.74","1,652.20","1,661.25"
2153,2012-01-17,"1,667.87","1,641.45","1,643.84","1,651.74"
2154,2012-01-16,"1,647.35","1,631.44","1,639.68","1,643.40"
2155,2012-01-13,"1,650.75","1,626.06","1,650.66","1,639.35"
2156,2012-01-12,"1,662.12","1,640.39","1,640.64","1,650.10"
2157,2012-01-11,"1,647.40","1,630.29","1,632.39","1,641.80"
2158,2012-01-10,"1,640.27","1,608.62","1,611.57","1,631.56"
